English comment,Level 1,Level 2,Level 3
residents of the unauthorized residential colony in the ward collect property tax of two years on their own have done it now he has received information from the property tax department three days ago that he has been since 2004 property tax has to be deposited ensured that property tax should not be taken from the above property owners go only commercial property tax owners should be taxed from the year 2004 ,civic,license civic,nuisance due to unauthorized hawkers on roads footpaths
do not unduly disturb the property taxpayer s property tax in the ward go ,revenue,tax,tax related
catch the stray pigs from the ward ,civic,miscellaneous issues in civic,nuisance due to stray dogs monkeys etc 
creator suction machine should be provided in sant nagar main market ,civic,water supply,providing water tap and hand pumps
why are cng less being given to door to door auto tippers running in the ward and they should be told cng should be made available in sufficient quantity ,,solid waste management swm,garbage lorry not reported for service lorry not covered
construction work of burari nigam school in ward has been stopped it should be started soon ,education,municipal school,municipal school related
the band should be caught as early as possible from the burardi nigam school located in the ward ,education,municipal school,municipal school related
corporation parks were used for free booking for organizing religious programs in the ward but now the gardens the department is demanding money for booking the above mentioned programs why should it be told their booking should be ensured for free ,civic,municipal corporation council related,municipal corporation related municipal corporation council related civic
the date of inauguration of nigam school located in swaroop nagar should be fixed ,education,municipal school,municipal school related
the number of door to door auto tippers that lift garbage from the ward should be increased ,,solid waste management swm,garbage not lifted from road authorised collection point
the construction work of roads in the ward which have been completed is sure to be started at the earliest be done ,civic,roads,relaying and repairs of roads
ward s wazirambad village and sangam vihar unauthorized colony department prohibits arbitrary tax collection be installed in these colonies and villages the department has made small arrangements by sealing and tax collection why are shopkeepers being harassed and on what basis are the 10 shops of the village sealed by the department has been done be told ,civic,license civic,nuisance due to unauthorized hawkers on roads footpaths
deputy commissioner on orders of challan cutting only all day in place of cleaning inspection of ward by cleaning inspectors prohibit because the cleaning inspector and assistant cleaning inspector of the department vacated all day in place of cleaning plot under construction houses shops and poor street dwellers are promoting corruption by recovering them throughout the day by pressing on about a thousand places they submit 5 or 10 challans to the department so that the corporation and the corporators are being slandered and the corporation does not get any revenue of this type cancellation of orders withdraw the challan book from the assistant cleaning inspector of the corporation and recover this illegal ,civic,license civic,hawkers at unauthorized place
but stop it immediately ,,solid waste management swm,removal of debris
walirabad village gali no 9 ward water department for one year the committee has not been able to fix the issue even in the meetings while in both the places ,civic,water supply,providing water tap and hand pumps
corporation plan head and councilor funds have also been made available ,civic,municipal corporation council related,municipal corporation related municipal corporation council related civic
of toilet blocks at 05 proposed locations near part ,civic,toilet,toilet urinal related
workers split in timarpur from swachh bharat abhiyan fund prohibited open defecation etc at designated places ,civic,storm water drainage,cleaning removal of silt from nullah cross culverts etc 
be made by the construction department immediately so that those funds can go ,civic,buildings,unauthorised construction development
the condition of the auto tipper in the ward is poor immediately 02 new auto tippers should be installed and the bad tippers new tipper should be provided in place ,civic,license civic,hawkers at unauthorized place
in front of the mayor s residence at timarpur in wad and in front of metro station lucknow road standards are being investigated what action has been taken by the department so far on the major construction work started by placing it and it should be told why should the construction work started on the buildings which have been closed for five years on all these by the department immediate action should be taken ,social culturalconcerns,naming renaming of roads chowks monuments buildings stations,naming renaming of roads chowks monuments buildings stations related
committee of the vad wise list of sanitation workers working in all the 4 areas of north delhi municipal corporation it should be given to all the members in the upcoming meeting ,civic,municipal corporation council related,municipal corporation related municipal corporation council related civic
nearly 40 year old street vendors were removed from the bc block market in ward they were taken to town the wedding committee meeting should be called and given immediate place ,civic,license civic,hawkers at unauthorized place
how long will the compactor be installed in the ward ,,solid waste management swm,providing removing replacing dustbins
garbage dumping on street daily from maharana pratap chowk to shiv mandir ward pour action against them and remove them from there and every day of mukund pur entrance cleanliness should be ensured regularly ,,solid waste management swm,garbage not lifted from road authorised collection point
ensured regular action against illegal meat shops in the ward be done ,civic,license civic,hawkers at unauthorized place
ensure early removal of illegal hoardings in various wards located in the area ,civic,storm water drainage,cleaning removal of silt from nullah cross culverts etc 
the observations problems raised by all the members of the committee should be resolved ahead of time to be sure ,,solid waste management swm,collection point not attended properly
new sidewalks shops of meat are being installed on the footpath located in the ward which the department has to deal with many times complaints were made but no action was taken on them veterinary inspector said that the department cannot cut their invoice is it true departmental on the complaint made by the concerned councilor ,civic,license civic,nuisance due to unauthorized hawkers on roads footpaths
proper action should be taken immediately by the officer and the departmental license inspector cut meat shops copy of the challan given ,civic,license civic,unauthorised food selling preparation license 
businessman shopkeeper tax conversion charge of all commercial shops in unauthorized area if done the concerned department can assure their shops are not sealed or can their trade licenses be made be told ,civic,license civic,nuisance due to unauthorized hawkers on roads footpaths
due to the depth of the depth of the jahangir puri pump house located in the ward there is waterlogging in the ward in this context appropriate action should be taken by the department ,civic,license civic,nuisance due to unauthorized hawkers on roads footpaths
illegal parking running in front of vidyalaya of kushal cinema road delhi government located at jahangir puri action against ,civic,roads,parking related
pick up the car parked in front of babu jagjivan ram hospital located in the ward and working in the ward license inspector should be given information ,civic,license civic,unauthorised food selling preparation license 
e rickshaw parking and car wash service stations have opened on kushal cinema road in ward their legal action should be taken against the department ,,solid waste management swm,garbage lorry not reported for service lorry not covered
the illegal juice kiosks should be removed immediately from mukundpur entrance ,civic,license civic,nuisance due to unauthorized hawkers on roads footpaths
small auto tippers should be provided for lifting door to door garbage for tomar colony in ward and increased number of door to door auto tippers ,,solid waste management swm,garbage not lifted from road authorised collection point
due to the depth of the jahangir puri pump house located in the ward waterlogging takes place in the ward in this context appropriate action should be taken by the department ,civic,license civic,hawkers at unauthorized place
illegal parking running in front of vidyalaya of kushal cinema road delhi government located at jahangir puri action against ,civic,roads,parking related
the vehicle standing in front of babu jagjivan ram hospital located in the ward should be raised and working in the ward license inspector should be given information ,civic,license civic,license related
the illegal juice kiosks should be removed immediately from mukundpur entrance ,civic,license civic,nuisance due to unauthorized hawkers on roads footpaths
small auto tippers should be provided for lifting door to door garbage for tomar colony in ward and increased number of door to door auto tippers ,,solid waste management swm,garbage not lifted from road authorised collection point
dwmsl appropriate action should be taken against the company as per the rules ,civic,municipal corporation council related,municipal corporation related municipal corporation council related civic
ensured availability of anti rabies injection in all dispensaries and polyclinics located in the ward go ,civic,water supply,providing water tap and hand pumps
stuff should be made in the ward ,,solid waste management swm,garbage not lifted from road authorised collection point
license inspector bb in k 2 block market located in ward such shops were also sealed by bhardwaj in which no work was going on why and on what basis were these sealed by the department told go and examine them be de sealed ,civic,license civic,unauthorised food selling preparation license 
baba colony swaraj temple near the defected highmost light should be repaired and mp the high light lights of the fund should be ensured at the earliest ,civic,storm water drainage,cleaning removal of silt from nullah cross culverts etc 
illegal street ridges from bengali colony to sant nagar should be removed because of them ,civic,roads,street lighting
often there is a traffic jam causing problems for vehicle owners passing through have to do ,civic,license civic,nuisance due to unauthorized hawkers on roads footpaths
the number of cleaning staff in the ward should be increased ,civic,storm water drainage,cleaning removal of silt from nullah cross culverts etc 
there is a lot of garbage on the block of 0 block and roshanara proper cleaning there the system should be ensured ,,solid waste management swm,garbage not lifted from road authorised collection point
the construction work of the compactor should be started within 15 days by the concerned department in roshanara bagh otherwise they will have to forcefully block the iceberg chowk ,civic,buildings,unauthorised construction development
